"";"string";"cluster";"distanceToCenter"
"1";"Kollektion";5;8
"2";"pro Jahr";25;7
"3";"Musiker";25;6
"4";"Continental";25;10
"5";"volkstümlichste";25;14
"6";"2. August";25;8
"7";"Gruppen";25;6
"8";"Volkszählungsdaten";25;17
"9";"Hauptstraße";25;10
"10";"Constable of the Tower";12;0
"11";"Knicks";25;5
"12";"an der";25;5
"13";"Communauté de communes";25;21
"14";"Gitterträgern";38;11
"15";"Antragsteller";25;12
"16";"Prost";25;4
"17";"Tiberius’";25;8
"18";"physikalische";25;12
"19";"Sicherheitsverordnungen";74;20
"20";"flog";20;0
"21";"Henri";25;4
"22";"Yen";25;2
"23";"Sähle";25;4
"24";"Kuppen";25;5
"25";"Reagan";25;5
"26";"Opiz";25;3
"27";"Überschneidungen";25;15
"28";"Nordschweiz";49;0
"29";"bangwe";94;0
"30";"Eagles";25;5
"31";"2001";25;3
"32";"Ruine";25;4
"33";"Stellen";25;6
"34";"27-28";25;4
"35";"importierten";24;10
"36";"Fräulein";25;7
"37";"Demokraten-Republikaner";14;0
"38";"Velma";25;4
"39";"freundet";25;7
"40";"Jacobus";25;6
"41";"Zufluss";25;6
"42";"Rampe";25;4
"43";"Königshausen";57;0
"44";"Springen";77;6
"45";"kompliziert";42;9
"46";"Wahrnehmung";25;10
"47";"hier";42;0
"48";"Koogs";25;4
"49";"State Route";25;10
"50";"Anbetung";25;7
"51";"begleiteten";25;10
"52";"Weltcuprennen";25;12
"53";"null";25;3
"54";"Fabra";25;4
"55";"Huldigung";25;8
"56";"FitzJohn";25;7
"57";"1874";25;3
"58";"Lebensmittel";4;10
"59";"im Ausland";28;0
"60";"hingewiesen";25;10
"61";"Wahrheit";25;7
"62";"Weyrich";25;6
"63";"Alternativ";25;9
"64";"Wight";25;4
"65";"Den";25;2
"66";"762";25;2
"67";"Ferdinand Maximilian";25;19
"68";"Börde";25;4
"69";"Weniger";25;6
"70";"Das Boot";25;7
"71";"einfaches";25;8
"72";"Unionsbürgerrichtlinie";74;19
"73";"Schulförderung";25;13
"74";"flüchtet";25;7
"75";"Eisberges";25;8
"76";"Market";25;5
"77";"reduzierte";42;8
"78";"Elektromotor";25;11
"79";"Traktionskontrolle";25;17
"80";"im Großen";25;8
"81";"jugoslawischen";25;13
"82";"vorgesehenen";34;0
"83";"Wassen";100;4
"84";"Schachermayer";55;11
"85";"Fitzharding";25;10
"86";"Ballard";36;5
"87";"Sauerstoffpartialdruck";25;21
"88";"Eduard VI.";25;9
"89";"Anbauflächen";25;11
"90";"Allan";25;4
"91";"Leyla";25;4
"92";"Mickus";51;0
"93";"Biathletin";25;9
"94";"McWade";25;5
"95";"Komik";25;4
"96";"Alec Douglas-Home";25;16
"97";"gefunden.";25;8
"98";"Speicher";25;7
"99";"Einsiedelei";25;10
"100";"Kladower";25;7
"101";"Bahnhofstraße";63;0
"102";"gewichtet";74;6
"103";"Master-Band";25;10
"104";"national";25;7
"105";"Tiefbrunnen";25;10
"106";"Drogen";25;5
"107";"singen";77;4
"108";"Berndt";25;5
"109";"mallorquinisches";36;14
"110";"Gibson";27;0
"111";"zuständigen";44;9
"112";"Kirchheim Knights";25;16
"113";"Straßenbäumen";25;12
"114";"Zoll";25;3
"115";"Kurt";25;3
"116";"wählen";25;5
"117";"vornherein";25;9
"118";"konstanter";25;9
"119";"Gibbs-Ungleichung";25;16
"120";"Sachsen-Coburg und Gotha";25;23
"121";"PUmA";25;3
"122";"nicht eindeutig";74;12
"123";"Zusammenarbeit";10;8
"124";"gewährleistete";25;13
"125";"integrierten";24;10
"126";"mörderisches";25;11
"127";"Umgebung";25;7
"128";"13. Jahrhundert";25;14
"129";"reichen bis";25;10
"130";"Domstaffelturm";25;13
"131";"Schriftstücke";25;12
"132";"Friedrich-Karl";25;13
"133";"Vergleichsgruppe";25;15
"134";"Johann Strauss II";25;16
"135";"erweitert.";25;9
"136";"Vielheit";35;0
"137";"Au";25;1
"138";"Therapy";25;6
"139";"Hohenasperg";25;10
"140";"geförderten";24;9
"141";"folgenlos";25;8
"142";"Chansons";25;7
"143";"Besucherzahlen";92;12
"144";"Bahngesellschaft";25;15
"145";"Zunft";25;4
"146";"Koordinatenvektors";25;17
"147";"simulierten";24;9
"148";"Elektrobranche";25;13
"149";"Club";25;3
"150";"verzögerte";25;9
"151";"15. Juni";25;7
"152";"Dürerschule";25;10
"153";"Wegweiser-Verlag";25;15
"154";"96n";25;2
"155";"52,3";25;3
"156";"Kostensteigerung";44;14
"157";"Segenshandlungen";25;15
"158";"Papaya";25;5
"159";"Evangelisch-Lutherischen";25;23
"160";"Krieger";25;6
"161";"Buchstabenwahl";4;12
"162";"Werkzeuge";25;8
"163";"Städtepartnerschaftsvertrag";25;26
"164";"Sekunde";25;6
"165";"Handbuchs";25;8
"166";"Zehenformation";25;13
"167";"treibende";4;7
"168";"erneute";25;6
"169";"Sakramentshäuser";25;15
"170";"Pinang";25;5
"171";"Februar 2003";86;8
"172";"Verzweigungen";44;11
"173";"Staatsoberhauptes";4;15
"174";"Menschenkenner";1;0
"175";"meistbeschäftigten";25;17
"176";"nicht veröffentlicht";74;17
"177";"394–395";25;6
"178";"Quintettstück";31;0
"179";"bekommt";25;6
"180";"angeblich";47;7
"181";"Cast";25;3
"182";"Narnia";25;5
"183";"dessen";25;5
"184";"daß";25;2
"185";"Freude";59;0
"186";"stauen";25;5
"187";"Kirmes";62;0
"188";"Renaturierungs-";42;13
"189";"abgelaufenen";25;11
"190";"Mittelgesicht";74;10
"191";"multidisziplinären";25;17
"192";"Gewände";25;6
"193";"Handelsknotenpunkt";25;17
"194";"Worcester";25;8
"195";"Wochenschrift";99;0
"196";"Gabry Ponte";25;10
"197";"Andrej";25;5
"198";"Ferro";25;4
"199";"Präsidentschaftswahl";25;19
"200";"Josey";25;4
"201";"Berührungssensoren";25;17
"202";"Feldes";25;5
"203";"Kurve";25;4
"204";"Kapitels";25;7
"205";"intermolekulare";25;14
"206";"nicht doch";74;7
"207";"Fassung";100;5
"208";"Schützen-";25;8
"209";"John Wayne";25;9
"210";"Geschäften";25;9
"211";"Südkorea";25;7
"212";"staatsweit";25;9
"213";"Cammazes";25;7
"214";"Arachnida";25;8
"215";"elfenartiges";25;11
"216";"Kater";25;4
"217";"ÖRWZ";83;0
"218";"3. Oktober";4;8
"219";"Sachtexte";25;8
"220";"kritischsten";25;11
"221";"Ahlen";25;4
"222";"Amuse";25;4
"223";"arabische";25;8
"224";"Carlas";25;5
"225";"in zunehmendem Maße";25;18
"226";"Institution";25;10
"227";"alacris";25;6
"228";"Berardinelli";25;11
"229";"Schritt";25;6
"230";"Liceo";66;0
"231";"Dritter";38;5
"232";"fuhren";25;5
"233";"Altbau-Triebwagen";25;16
"234";"städtische";25;9
"235";"Proklamation";25;11
"236";"Löwe";87;0
"237";"Wilhelm";25;6
"238";"TV";25;1
"239";"Titel";25;4
"240";"vermachte";25;8
"241";"Blausteinbelag";25;13
"242";"persönliches";96;0
"243";"Netz-";25;4
"244";"1782/83";25;6
"245";"Wehrmachtssoldat";25;15
"246";"Desiré";25;5
"247";"Neuinterpretation";25;16
"248";"Seelenschmieden";25;14
"249";"kontroversen";25;11
"250";"Wahlkampf";85;0
"251";"Energiewirtschaft";25;16
"252";"Söhne";25;4
"253";"HASAG";25;4
"254";"Kinoproduktionen";25;15
"255";"objektiv";15;0
"256";"Basisleistungen";25;14
"257";"Regelaltersrente";25;15
"258";"persönlich";96;2
"259";"Lebensabend";4;9
"260";"umfunktioniert";42;12
"261";"preiswerter";88;0
"262";"Realismus";25;8
"263";"1/2004";25;5
"264";"Ullsteinstraße";25;13
"265";"Eindruck";25;7
"266";"1867/668";25;7
"267";"bestätigen";44;8
"268";"Küttlersrain";25;11
"269";"Insolvenzverwalter";25;17
"270";"Raphe";78;0
"271";"eingewachsen";25;11
"272";"Diplomat";25;7
"273";"isländische";25;10
"274";"aufgelegt";52;6
"275";"Verlust";25;6
"276";"Luftsportgeräte";25;14
"277";"Genussehe";25;8
"278";"Investorin";95;7
"279";"24. Juni";25;7
"280";"Residenzkapelle";25;14
"281";"korrekt";25;6
"282";"25. Oktober";4;9
"283";"National Hockey League";25;21
"284";"Ballroom";36;6
"285";"Schluff";25;6
"286";"Spannung";25;7
"287";"stachliger";25;9
"288";"570";25;2
"289";"26.";25;2
"290";"Dâmbovicioara-Wasserschlucht";100;26
"291";"Lotze";25;4
"292";"angeordnet";25;9
"293";"5.";25;1
"294";"rechts und links";25;15
"295";"Abs. 1";25;5
"296";"betriebliche";47;8
"297";"Kita";25;3
"298";"Rede";25;3
"299";"Urologe";20;5
"300";"Pitcher";25;6
"301";"Herrenauswahl";68;0
"302";"Neunfelder-Portfolio";25;19
"303";"Fortsetzen";25;9
"304";"Wohnhäusern";25;10
"305";"Bankkunden";25;9
"306";"1832";81;0
"307";"Sotheby’s";25;8
"308";"Apsis";25;4
"309";"war.";25;3
"310";"Betriebseinrichtungen";29;16
"311";"Sprachuniversalien";25;17
"312";"Vielmehr";25;7
"313";"Treuhandgesetz";25;13
"314";"Dartmoor";25;7
"315";"2. Februar";86;0
"316";"scheitere";25;8
"317";"finde";25;4
"318";"Jede";25;3
"319";"Diskussionsprozess";25;17
"320";"http://clochers";25;14
"321";"Pfarrkirche";25;10
"322";"Energieeffizienz";25;15
"323";"Novemberpogrom";25;13
"324";"mehrdeutig";25;9
"325";"Dominikanerkirche";25;16
"326";"feuchte";92;5
"327";"klassieren";42;8
"328";"Gerichtsstätte";74;11
"329";"Maitenbeth";25;9
"330";"schwierigen";42;9
