"";"cluster";"partOf";"center";"variance";"sumOfSquares";"count"
"1";1;0;"MECKENHEIM";0;383;5
"2";2;0;"GERINGSWALDE";0;250;3
"3";3;0;"GOMMERN";0;705;9
"4";4;0;"PLATTLING";0;0;1
"5";5;0;"KRAKOW AM SEE";0;100;2
"6";6;0;"PRISDORF";0;9;2
"7";7;0;"SOTTRUM";0;72;3
"8";8;0;"SAALOW";0;636;7
"9";9;0;"KÖNIGSTEIN";0;1596;11
"10";10;0;"HUDE (OLDENBURG)";0;242;3
"11";11;0;"WADDEWEITZ";0;0;1
"12";12;0;"HAIMHAUSEN";0;2500;23
"13";13;0;"ALPENROD";0;230;4
"14";14;0;"SULZBACH (TAUNUS)";0;0;1
"15";15;0;"WEISTROPP";0;169;2
"16";16;0;"KALTENKIRCHEN";0;366;4
"17";17;0;"WANKENDORF";0;994;10
"18";18;0;"LANGENENSLINGEN";0;0;1
"19";19;0;"MASSWEILER";0;1291;15
"20";20;0;"POLKENBERG";0;36;2
"21";21;0;"MÜHLENBECK";0;323;5
"22";22;0;"ELSDORF";0;16;2
"23";23;0;"GROSSSOLT";0;1472;12
"24";24;0;"WERTHER (WESTFALEN)";0;0;1
"25";25;0;"DÖRNTHAL";0;643;6
"26";26;0;"ESGRUS";0;306;5
"27";27;0;"GREIFSWALD";0;100;2
"28";28;0;"LANGENHAGEN";0;901;8
"29";29;0;"BURGLENGENFELD";0;16;2
"30";30;0;"DISCHINGEN";0;819;12
"31";31;0;"GLONN";0;1353;16
"32";32;0;"NEIDSTEIN";0;2041;18
"33";33;0;"HANAU";0;2650;30
"34";34;0;"ZSCHADRASS";0;0;1
"35";35;0;"ERKENBRECHTSWEILER";0;0;1
"36";36;0;"LIEDERBACH";0;559;6
"37";37;0;"WEHRHEIM";0;1249;10
"38";38;0;"THUM";0;45620;641
"39";39;0;"PUTZBRUNN";0;1447;8
"40";40;0;"BIELATAL";0;0;1
"41";41;0;"FREIHUNG";0;0;1
"42";42;0;"REICHLING";0;296;4
"43";43;0;"HERSCHBACH";0;150;5
"44";44;0;"FELDAFING";0;0;1
"45";45;0;"NEUHOFEN";0;973;14
"46";46;0;"LANGENHORN";0;0;1
"47";47;0;"SCHEER";0;1987;20
"48";48;0;"BARNSTORF";0;36;2
"49";49;0;"VOLKACH";0;64;2
"50";50;0;"MALBORN";0;381;10
"51";51;0;"KASTL";0;98;3
"52";52;0;"HEIMBUCHENTHAL";0;0;1
"53";53;0;"FAHRENBACH";0;16;2
"54";54;0;"KLÜTZ";0;277;7
"55";55;0;"HETTSTADT";0;2654;29
"56";56;0;"STEINBERGKIRCHE";0;180;3
"57";57;0;"BEELEN";0;36;2
"58";58;0;"DAMP";0;969;9
"59";59;0;"HERZLAKE";0;0;1
"60";60;0;"REINSDORF";0;64;2
"61";61;0;"WEIGMANNSDORF";0;98;3
"62";62;0;"BOCHOLT";0;0;1
"63";63;0;"NÜRNBERG";0;511;8
"64";64;0;"TRÖGLITZ";0;0;1
"65";65;0;"BARNTRUP";0;0;1
"66";66;0;"RUDERTING";0;187;4
