"";"x"
"1";"PELLWORM"
"2";"OBERDERDINGEN"
"3";"LIST"
"4";"TREBEL"
"5";"ZAHNA"
"6";"WÖRLITZ"
"7";"GROSSSCHWEIDNITZ"
"8";"DITTERSDORF"
"9";"NAUORT"
"10";"WINTERBERG"
"11";"OBERELSBACH"
"12";"MÜNSTER-SARMSHEIM"
"13";"ELDENA"
"14";"OBEROSTENDORF"
"15";"NORDGERMERSLEBEN"
"16";"SCHÖNAU"
"17";"ERLIGHEIM"
"18";"FORCHTENBERG"
"19";"RONSBERG"
"20";"JAHNSBACH"
"21";"SCHWABSTEDT"
"22";"BREHNA"
"23";"OSTERBURKEN"
"24";"HEINSEN"
"25";"UELZEN"
"26";"BARUM"
"27";"ATTENDORN"
"28";"BEUREN (HOCHWALD)"
"29";"EICHSTÄTT"
"30";"SELIGENTHAL"
"31";"WIPPRA"
"32";"PLIENING"
"33";"THEDINGHAUSEN"
"34";"HOHBERG"
"35";"NEUHOFEN"
"36";"IMMENSTAAD AM BODENSEE"
"37";"SPEYER"
"38";"WESTERLAND"
"39";"DORNHAN"
"40";"HAUSEN"
"41";"HENNEF (SIEG)"
"42";"HEUSTREU"
"43";"STOTTERNHEIM"
"44";"NOTTULN"
"45";"HASSERODE"
"46";"KÖNIGSWALDE"
"47";"OBERLICHTENAU"
"48";"TARP"
"49";"DASING"
"50";"EPPERTSHAUSEN"
"51";"BATTENBERG (EDER)"
"52";"BRÄUNLINGEN"
"53";"FORSTERN"
"54";"TRABITZ"
"55";"WALLENDORF"
"56";"NEU WULMSTORF"
"57";"EBRACH"
"58";"RADBRUCH"
"59";"BELL (HUNSRÜCK)"
"60";"URACH"
"61";"ÖHRINGEN"
"62";"RATZENHOFEN"
"63";"SCHWETZINGEN"
"64";"RAMSIN"
"65";"BUCH AM BUCHRAIN"
"66";"TRÖGLITZ"
"67";"UETERSEN"
"68";"SCHWARZACH AM MAIN"
"69";"ÜXHEIM"
"70";"SCHWARZENBACH AM WALD"
"71";"WEIL"
"72";"GÜSEN"
"73";"LEIWEN"
"74";"INGOLDINGEN"
"75";"ESCHAU"
"76";"THEMAR"
"77";"NÜSTTAL"
"78";"BAD WIMPFEN"
"79";"DRANGSTEDT"
"80";"HEILIGENHAUS"
"81";"SEELBACH"
"82";"ÜBERSEE"
"83";"VEILSDORF"
"84";"BADEM"
"85";"GERHARDSHOFEN"
"86";"SCHORNDORF"
"87";"SCHALKSMÜHLE"
"88";"KRAILING"
"89";"SIERSHAHN"
"90";"GITTELDE"
"91";"GIEBELSTADT"
"92";"BECHTOLSHEIM"
"93";"HORN-BAD MEINBERG"
"94";"GYHUM"
"95";"NEUHAUS AN DER PEGNITZ"
"96";"ALBERSDORF"
"97";"HERLESHAUSEN"
"98";"NEULER"
"99";"NORDLEDA"
"100";"WENDELSTEIN"
"101";"TOLLWITZ"
"102";"GOSSERSWEILER-STEIN"
"103";"FÜRSTENBERG"
"104";"KLEINOLBERSDORF-ALTENHAIN"
"105";"REICHARTSHAUSEN"
"106";"HOFHEIM IN UNTERFRANKEN"
"107";"TEISNACH"
"108";"NIENBURG"
"109";"GEMÜNDEN AM MAIN"
"110";"ENZKLÖSTERLE"
"111";"ATZENDORF"
"112";"SÜSSEN"
"113";"MENDEN (SAUERLAND)"
"114";"SCHILLINGEN"
"115";"NANDLSTADT"
"116";"MOORBAD LOBENSTEIN"
"117";"WECHINGEN"
"118";"ORTMANNSDORF"
"119";"BLEKENDORF"
"120";"LOSSBURG"
"121";"OBERNZENN"
"122";"DONZDORF"
"123";"NIDDERAU"
"124";"GRANA"
"125";"RHENS"
"126";"LEGAU"
"127";"SALGEN"
"128";"WINHÖRING"
"129";"SCHLUCHSEE"
"130";"AROLSEN"
"131";"GERABRONN"
"132";"BIRKENFELD"
"133";"WERMELSKIRCHEN"
"134";"JORK"
"135";"RIMPAR"
"136";"ICKING"
"137";"WALD-MICHELBACH"
"138";"FAULBACH"
"139";"MIDLUM"
"140";"GREIMERATH"
"141";"LANGLINGEN"
"142";"LÜBBENAU"
"143";"GERNSBACH"
"144";"HILTENFINGEN"
"145";"FALKENSEE"
"146";"BREUBERG"
"147";"KARSTÄDT"
"148";"STADE"
"149";"ELLENBERG"
"150";"BUSECK"
"151";"MAGSTADT"
"152";"WIEHL"
"153";"STUTTGART"
"154";"OSTRITZ"
"155";"NITTENDORF"
"156";"BUXHEIM"
"157";"GACHENBACH"
"158";"HÜTTENBERG"
"159";"THUMITZ"
"160";"HÖCHHEIM"
"161";"RHEDEN"
"162";"TEMPLIN"
"163";"OBERKOTZAU"
"164";"HINTE"
"165";"BAD BENTHEIM"
"166";"VOLKACH"
"167";"BURGKUNSTADT"
"168";"GRIESBACH IM ROTTAL"
"169";"MELDORF"
"170";"MEHRSTETTEN"
"171";"HOHENPEISSENBERG"
"172";"TEUCHERN"
"173";"WERNECK"
"174";"FREUDENBURG"
"175";"RAINAU"
"176";"THIERHAUPTEN"
"177";"WENDISCH EVERN"
"178";"BUCHHOLZ IN DER NORDHEIDE"
"179";"WERL"
"180";"KIRCHENPINGARTEN"
"181";"GLASHÜTTEN"
"182";"ZELLERTAL"
"183";"EBELEBEN"
"184";"EITERFELD"
"185";"HENNWEILER"
"186";"LEUBSDORF"
"187";"ZAISENHAUSEN"
"188";"HOHENDODELEBEN"
"189";"NEUENBURG AM RHEIN"
"190";"DACHSBACH"
"191";"GREMERSDORF"
"192";"BÜHLERZELL"
"193";"PÖRNBACH"
"194";"DORNBURG"
"195";"KÖNIGS WUSTERHAUSEN"
"196";"ARNBRUCK"
"197";"SOMMERKAHL"
"198";"CASTROP-RAUXEL"
"199";"MOORENWEIS"
"200";"SCHELLERTEN"
"201";"LENGENWANG"
"202";"HEIDE"
"203";"GLONN"
"204";"JONSDORF"
"205";"PIRNA"
"206";"KRIEGSFELD"
"207";"HEININGEN"
"208";"RÜCKERSDORF"
"209";"GROSSROSSELN"
"210";"WESTERRÖNFELD"
"211";"SCHIERSTEDT"
"212";"RHEINFELDEN (BADEN)"
"213";"LINDAU"
"214";"HERDECKE"
"215";"BÜDDENSTEDT"
"216";"GEISELHÖRING"
"217";"HASEL"
"218";"UPGANT-SCHOTT"
"219";"RÖDERSHEIM-GRONAU"
"220";"LANGENHAGEN"
"221";"GERZEN"
"222";"ALHEIM"
"223";"MARKTL"
"224";"EGMATING"
"225";"DINSLAKEN"
"226";"HOHENTHURM"
"227";"LIMESHAIN"
"228";"SIERKSDORF"
"229";"NORTORF"
"230";"FLONHEIM"
"231";"AU IN DER HALLERTAU"
"232";"OELSA"
"233";"PLATTLING"
"234";"WITTEN"
"235";"ZEITLARN"
"236";"EICHENZELL"
"237";"QUEIDERSBACH"
"238";"UTTING AM AMMERSEE"
"239";"WISCHHAFEN"
"240";"SCHWEBHEIM"
"241";"HOMBURG"
"242";"GÖDA"
"243";"LOBSTÄDT"
"244";"WIRDUM"
"245";"DITFURT"
"246";"MARKTOBERDORF"
"247";"NÜDLINGEN"
"248";"PÖSSNECK"
"249";"URMITZ"
"250";"SEEHEIM-JUGENHEIM"
"251";"BÄRENSTEIN"
"252";"EISENBERG (PFALZ)"
"253";"TÖGING AM INN"
"254";"DIETRAMSZELL"
"255";"OSTERBURG"
"256";"STEINBACH"
"257";"GARTZ"
"258";"NITTENAU"
"259";"ELSDORF"
"260";"GROSSSOLT"
"261";"REINSFELD"
"262";"PHILIPPSTHAL (WERRA)"
"263";"NEUHAUS"
"264";"STRULLENDORF"
"265";"BAD BIBRA"
"266";"GOLDBECK"
"267";"ALTÖTTING"
"268";"TRIERWEILER"
"269";"RENCHEN"
"270";"BREIHOLZ"
"271";"EMSDETTEN"
"272";"SEXAU"
"273";"WERDAU"
"274";"HASSFURT"
"275";"BLAUBEUREN"
"276";"EHRENBURG"
"277";"GEHREN"
"278";"ÜHLFELD"
"279";"ESCHEBURG"
"280";"BUTTSTÄDT"
"281";"BANN"
"282";"GORNAU"
"283";"LENGERICH"
"284";"HEMMINGEN"
"285";"PLAIDT"
"286";"SCHÖNBERG"
"287";"STEINHAUSEN AN DER ROTTUM"
"288";"ZOLLING"
"289";"BARSSEL"
"290";"BINSFELD"
"291";"TREDELBURG"
"292";"NONNWEILER"
"293";"HESEL"
"294";"RODEWALD"
"295";"DINGOLSHAUSEN"
"296";"COESFELD"
"297";"HAMBURG"
"298";"BOXDORF"
"299";"ALLERSBERG"
"300";"SPAICHINGEN"
"301";"HÖHR-GRENZHAUSEN"
"302";"MEISSNER"
"303";"GARBSEN"
"304";"CROTTENDORF"
"305";"LANGEN"
"306";"ACHSLACH"
"307";"ALLENDORF (EDER)"
"308";"BITBURG"
"309";"SCHÖNKIRCHEN"
"310";"WALDEMS"
"311";"RULLSTORF"
"312";"DURLANGEN"
"313";"LEIMEN"
"314";"HAMMAH"
"315";"SCHAFFLUND"
"316";"TROSTBERG"
"317";"PETTING"
"318";"SCHÖNWALDE"
"319";"SIEK"
"320";"SCHLÜSSELFELD"
"321";"PANSCHWITZ"
"322";"WARBERG"
"323";"BERGLERN"
"324";"FRIEDRICHSTHAL"
"325";"LICHTENFELS"
"326";"HALLBACH"
"327";"ESSENBACH"
"328";"NATTHEIM"
"329";"KÖNIGSHAIN"
"330";"EROLZHEIM"
"331";"SANKT AUGUSTIN"
"332";"POLKENBERG"
"333";"MÖLLN"
"334";"ANNAHÜTTE"
"335";"RHEINBACH"
"336";"NIEDERODERWITZ"
"337";"MEISENHEIM"
"338";"NUSSDORF"
"339";"WILBURGSTETTEN"
"340";"LICH"
"341";"EVESSEN"
"342";"WEIGMANNSDORF"
"343";"ALTENSTADT"
"344";"UNSEBURG"
"345";"BAD LIEBENSTEIN"
"346";"KRÖNING"
"347";"SASSENBERG"
"348";"RODEWISCH"
"349";"SCHLEIZ"
"350";"ALTENMARKT AN DER ALZ"
"351";"ROSDORF"
"352";"AUGUSTUSBURG"
"353";"LANGENAU"
"354";"BRETZENHEIM"
"355";"LEUTENBACH"
"356";"LAUFEN"
"357";"JESBERG"
"358";"ÖLBRONN-DÜRRN"
"359";"ALTENWEDDINGEN"
"360";"ILSFELD"
"361";"GLOSSEN"
"362";"GILLENFELD"
"363";"PLEYSTEIN"
"364";"GUNTERSBLUM"
"365";"FRIESOYTHE"
"366";"SIGMARSZELL"
"367";"ELLHOFEN"
"368";"MÖNSHEIM"
"369";"ZEISKAM"
"370";"SCHLÜCHTERN"
"371";"PERLEBERG"
"372";"MOOSTHENNING"
"373";"LINDEWITT"
"374";"ERDMANNSDORF"
"375";"NEUSTADT"
"376";"HINTERSCHMIDING"
"377";"FULDA"
"378";"BRETNIG"
"379";"EGGEBEK"
"380";"ASENDORF"
"381";"NORTHEIM"
"382";"SCHWANEWEDE"
"383";"WESENBERG"
"384";"WHEDERAU"
"385";"ANDERNACH"
"386";"OELSNITZ"
"387";"KÖDITZ"
"388";"WÜLFRATH"
"389";"HÜTSCHENHAUSEN"
"390";"GAILDORF"
"391";"RINGSHEIM"
"392";"GRATTERSDORF"
"393";"DEUTSCHNEUDORF"
"394";"TARMSTEDT"
"395";"LANGEBRÜCK"
"396";"NASSAU"
"397";"MESSSTETTEN"
"398";"HÖRNUM (SYLT)"
"399";"HANSTEDT"
"400";"OBERBOBRITZSCH"
"401";"WALDBRUNN (WESTERWALD)"
"402";"LANGENDORF"
"403";"BERNBEUREN"
"404";"UETTINGEN"
"405";"OCHTRUP"
"406";"EPPENBRUNN"
"407";"HAIMHAUSEN"
"408";"GROSSALMERODE"
"409";"WARIN"
"410";"ALLSTEDT"
"411";"KEHL"
"412";"DIETERSBURG"
"413";"KONRADSREUTH"
"414";"GRABEN"
"415";"BÖRNICHEN"
"416";"TREFFELSTEIN"
"417";"HODENHAGEN"
"418";"BORSTEL"
"419";"HOLZKIRCHEN"
"420";"KIRCHHAM"
"421";"TRAUTSKIRCHEN"
"422";"GERDAU"
"423";"WEISSENTHURM"
"424";"BLEICHERODE"
"425";"PRONSTORF"
"426";"UNTERWÖSSEN"
"427";"SCHIERLING"
"428";"LONSEE"
"429";"GILSERBERG"
"430";"SCHWANSTETTEN"
"431";"WOLLBACH"
"432";"LINDEN"
"433";"BORNA"
"434";"OBERNHEIM"
"435";"SPARDORF"
"436";"MECHERNICH"
"437";"BUDENHEIM"
"438";"GROSSBETTINGEN"
"439";"ZIEMETSHAUSEN"
"440";"WINNWEILER"
"441";"KIRCHANSCHÖRING"
"442";"ESSEN"
"443";"WAAL"
"444";"JUIST"
"445";"WUNSIEDEL IM FICHTELGEBIRGE"
"446";"WERTHER (WESTFALEN)"
"447";"BRÖCKEL"
"448";"TREBNITZ"
"449";"HORNEBURG"
"450";"ERDING"
"451";"OLBERNHAU"
"452";"BILLIGHEIM-INGENHEIM"
"453";"NIDDATAL"
"454";"REINHARDSHAGEN"
"455";"BEIMERSTETTEN"
"456";"BECKEDORF"
"457";"SOTTRUM"
"458";"RANTRUM"
"459";"OSBURG"
"460";"LEUTERSHAUSEN"
"461";"ASSLAR"
"462";"STARNBERG"
"463";"ÖTISHEIM"
"464";"TUSSENHAUSEN"
"465";"SEIFERSDORF"
"466";"IRSEE"
"467";"WRIEDEL"
"468";"NAUHEIM"
"469";"NECKARZIMMERN"
"470";"IMMENHAUSEN"
"471";"GAUKÖNIGSHOFEN"
"472";"ALTENAHR"
"473";"HERSBRUCK"
"474";"HEIDENROD"
"475";"GROSS-BIEBERAU"
"476";"NIEDERELBERT"
"477";"PEGNITZ"
"478";"FRIEDRICHSTADT"
"479";"MONHEIM"
"480";"SYKE"
"481";"HATTINGEN"
"482";"OBERHAID"
"483";"GEVELSBERG"
"484";"BOGEN"
"485";"KIRRWEILER (PFALZ)"
"486";"MAINLEUS"
"487";"SEEBURG"
"488";"OLDENDORF"
"489";"WANKENDORF"
"490";"NEUTREBBIN"
"491";"PLETTENBERG"
"492";"DISCHINGEN"
"493";"DORMITZ"
"494";"KIRCHHEIM AM RIES"
"495";"OBERWESEL"
"496";"REICHENBACH-STEEGEN"
"497";"EBRINGEN"
"498";"GRIESHEIM"
"499";"WEILER-SIMMERBERG"
"500";"MERDINGEN"
"501";"BARDOWICK"
"502";"LABOE"
"503";"WORBIS"
"504";"THANNHAUSEN"
"505";"KOBLENZ"
"506";"BURGSINN"
"507";"NAGEL"
"508";"ALTENKREMPE"
"509";"ERXLEBEN"
"510";"ERKRATH"
"511";"OFTERSHEIM"
"512";"KIRSCHAU"
"513";"NIERSTEIN"
"514";"SCHWÄBISCH HALL"
"515";"NEUSTADT (WIED)"
"516";"GOTTESZELL"
"517";"SALDENBURG"
"518";"BESIGHEIM"
"519";"RHEINZABERN"
"520";"SCHÖNAU AN DER BREND"
"521";"LICHTENFELS"
"522";"RATTISZELL"
"523";"SELBITZ"
